CG,status,chr,pos,cluster_id
cg20552012,chr2_20475,2,131299291,chr2_20475
cg07051654,chr2_20475,2,131299432,ESS_125
cg07051654,ESS_SIV,2,131299432,ESS_125
cg02683731,chr2_20475,2,131299594,chr2_20475
cg00162952,chr2_20475,2,131300249,chr2_20475
cg25012739,chr2_20475,2,131300459,chr2_20475
cg23880151,chr2_20484,2,131352564,chr2_20484
cg07588819,chr2_20484,2,131352940,chr2_20484
cg14161159,ESS_SIV,2,131724254,single1176
cg08095377,chr2_20617,2,131753538,chr2_20617
cg11491537,chr2_20617,2,131754148,chr2_20617
cg06685021,chr2_20617,2,131755498,chr2_20617
cg27169713,chr2_20617,2,131755886,chr2_20617
cg08946117,chr2_20623,2,131802603,chr2_20623
cg11786428,chr2_20623,2,131803055,chr2_20623
cg11939300,ESS_SIV,2,131827332,single1177
cg04947680,chr2_20627,2,131829507,chr2_20627
cg26687496,chr2_20627,2,131830009,chr2_20627
cg17977184,chr2_20627,2,131830210,chr2_20627
cg22478447,chr2_20627,2,131830598,chr2_20627
cg03802383,chr2_20825,2,133590213,chr2_20825
cg24980657,ESS_SIV,2,149320764,single1178
cg07563363,ESS_SIV,2,153287164,single1179
cg18516241,chr2_22958,2,156254820,chr2_22958
cg15611936,chr2_22958,2,156254859,chr2_22958
cg08146621,ESS_SIV,2,157597417,single1180
cg22436103,chr2_23218,2,158849037,chr2_23218
cg08354320,chr2_23218,2,158849109,chr2_23218
cg18412304,chr2_23229,2,158886203,chr2_23229
cg07508773,ESS_SIV,2,159286510,single1181
cg06621431,chr2_24114,2,167818632,chr2_24114
cg12624040,chr2_24114,2,167818696,chr2_24114
cg25427580,chr2_24114,2,167818848,chr2_24114
cg17598339,ESS_SIV,2,169768218,single1182
cg05866854,chr2_24508,2,170928436,chr2_24508
cg25189241,chr2_24508,2,170928518,chr2_24508
cg05309280,chr2_24508,2,170928576,chr2_24508
cg20720918,chr2_24508,2,170928615,chr2_24508
cg27490568,chr2_25461,2,177622979,chr2_25461
cg27490568,ESS_SIV,2,177622979,chr2_25461
cg19648023,ESS_SIV,2,178410447,single1184
cg01124477,ESS_SIV,2,180873545,single1185
cg17475084,chr2_26348,2,188034282,chr2_26348
cg21300403,ESS_SIV,2,197785389,single1186
cg23649088,ESS_SIV,2,199910736,ESS_133
cg17644776,ESS_SIV,2,199910894,ESS_133
cg03555299,chr2_28274,2,205965958,chr2_28274
cg11659391,chr2_28545,2,207681838,chr2_28545
cg16218221,ESS_SIV,2,207711886,single1189
cg24664470,ESS_SIV,2,208112210,single1190
cg20296298,ESS_SIV,2,209209297,chr2_28737
cg20296298,chr2_28737,2,209209297,chr2_28737
cg09336323,chr2_28737,2,209209553,chr2_28737
cg26685596,chr2_28737,2,209209636,chr2_28737
cg16865291,ESS_SIV,2,212832071,chr2_29009
cg16865291,chr2_29009,2,212832071,chr2_29009
cg22265452,chr2_29009,2,212832308,chr2_29009
cg22533762,chr2_29009,2,212832326,chr2_29009
cg08122831,ESS_SIV,2,212832856,SIV_54
cg08122831,chr2_29009,2,212832856,SIV_54
cg27329091,chr2_29009,2,212833326,SIV_54
cg27329091,ESS_SIV,2,212833326,SIV_54
cg20369299,ESS_SIV,2,212833435,SIV_54
cg20369299,chr2_29009,2,212833435,SIV_54
cg10540573,ESS_SIV,2,218004962,single1196
cg01797727,chr2_29900,2,218780880,chr2_29900
cg01157046,chr2_30572,2,222554703,chr2_30572
cg03028786,ESS_SIV,2,224032709,single1197
cg13774987,ESS_SIV,2,227714623,single1198
cg02577387,ESS_SIV,2,230990810,single1199
cg08863422,ESS_SIV,2,231426191,single1200
cg15577010,ESS_SIV,2,231530563,ESS_124
cg13312387,ESS_SIV,2,231530590,ESS_124
cg03238981,ESS_SIV,2,231604438,single1203
cg17871621,ESS_SIV,2,232351441,SIV_129
cg11946719,ESS_SIV,2,232351511,SIV_129
cg19183395,ESS_SIV,2,232352156,single1206
cg22653957,ESS_SIV,2,232409435,single1207
cg16700265,ESS_SIV,2,232409944,single1208
cg10313410,chr2_32045,2,232421930,chr2_32045
cg02113173,chr2_32045,2,232421960,chr2_32045
cg05833610,chr2_32770,2,235595992,chr2_32770
cg04097388,ESS_SIV,2,235763074,single1209
cg09646946,ESS_SIV,2,235817344,single1210
cg01116021,chr2_32946,2,236122657,chr2_32946
cg15066967,chr2_33077,2,236579132,chr2_33077
cg17793354,chr2_33077,2,236579159,chr2_33077
cg16989719,ESS_SIV,2,237483468,single1211
cg05088433,chr2_33627,2,238235661,chr2_33627
cg23361828,ESS_SIV,2,238554606,single1212
cg06107260,ESS_SIV,2,239144553,single1213
cg07673080,ESS_SIV,2,239319460,ESS_131
cg10639368,ESS_SIV,2,239319524,ESS_131
cg26317006,ESS_SIV,2,239506597,single1216
cg07608508,chr2_34209,2,239906494,chr2_34209
cg22062537,ESS_SIV,2,240136782,SIV_56
cg07628769,ESS_SIV,2,240136792,SIV_56
cg26154534,ESS_SIV,2,240136939,SIV_56
cg14908680,ESS_SIV,2,240558430,single1220
cg17098979,ESS_SIV,2,240622669,single1221
cg20396053,ESS_SIV,2,240682902,single1222
cg01588581,chr2_34628,2,240893484,chr2_34628
cg09991306,ESS_SIV,2,241035724,single1223
cg19768727,chr2_34933,2,241670082,chr2_34933
cg01072529,chr2_34958,2,241732667,chr2_34958
cg22122532,chr2_34958,2,241732712,chr2_34958
cg26430420,chr2_35004,2,241819412,chr2_35004
cg14918442,chr2_35004,2,241819426,chr2_35004
cg03532030,ESS_SIV,2,241882283,single1224
cg15506703,ESS_SIV,2,241902451,single1225
cg16331745,chr2_35060,2,241912282,chr2_35060
cg12791136,ESS_SIV,2,241985623,single1226
cg06143315,ESS_SIV,2,242008161,single1227
cg06360820,ESS_SIV,2,242046556,single1228
cg18898632,chr2_35110,2,242047706,chr2_35110
cg18898632,ESS_SIV,2,242047706,chr2_35110
cg07850323,ESS_SIV,3,3031593,single1343
cg26394916,ESS_SIV,3,4867806,single1344
cg16361249,chr3_953,3,7999815,chr3_953
cg02578087,ESS_SIV,3,8629676,single1345
cg12436715,ESS_SIV,3,9835583,single1346
cg20850873,ESS_SIV,3,10108120,single1347
cg20701799,ESS_SIV,3,10507893,single1348
cg22843684,ESS_SIV,3,10764430,ESS_147
cg22620414,ESS_SIV,3,10764449,ESS_147
cg07626033,ESS_SIV,3,10995213,single1351
cg16960810,chr3_2397,3,13553411,chr3_2397
cg23080199,chr3_2397,3,13553471,chr3_2397
cg02832485,chr3_2397,3,13553555,chr3_2397
cg20378921,ESS_SIV,3,14210056,single1352
cg19876987,ESS_SIV,3,14216550,single1353
cg19714930,chr3_2521,3,14231488,chr3_2521
cg10722217,chr3_2547,3,14305916,chr3_2547
cg16654079,chr3_2660,3,14571467,chr3_2660
cg16303742,ESS_SIV,3,15498965,single1354
cg03911306,ESS_SIV,3,16606788,single1355
cg14706226,chr3_3330,3,19103078,chr3_3330
cg01154525,chr3_3330,3,19103142,chr3_3330
cg08219773,ESS_SIV,3,19934247,single1356
cg19102621,chr3_3532,3,21542758,chr3_3532
cg21646032,ESS_SIV,3,25582415,single1357
cg13707894,ESS_SIV,3,27632971,single1358
cg16705744,ESS_SIV,3,27714549,single1359
cg21473142,ESS_SIV,3,27720605,single1360
cg18130688,ESS_SIV,3,28077780,single1361
cg27361401,ESS_SIV,3,32571271,single1362
cg06360956,ESS_SIV,3,36958745,single1363
cg27121316,ESS_SIV,3,39331914,single1364
cg05092459,chr3_5655,3,39408874,chr3_5655
cg11235602,ESS_SIV,3,39502286,ESS_50
cg05983061,ESS_SIV,3,39502702,ESS_50
cg24050474,ESS_SIV,3,39502836,ESS_50
cg15337196,chr3_6409,3,44686087,chr3_6409
cg16362181,chr3_6518,3,45349092,chr3_6518
cg24524379,ESS_SIV,3,46558755,single1368
cg11219411,ESS_SIV,3,46620151,single1369
cg19875656,chr3_6782,3,46717607,chr3_6782
cg13303179,chr3_6782,3,46717846,chr3_6782
cg02834909,ESS_SIV,3,46717949,ESS_22
cg02834909,chr3_6782,3,46717949,ESS_22
cg19668234,chr3_6782,3,46717960,ESS_22
cg19668234,ESS_SIV,3,46717960,ESS_22
cg01788113,chr3_6782,3,46717983,ESS_22
cg01788113,ESS_SIV,3,46717983,ESS_22
cg00817731,chr3_6782,3,46717986,ESS_22
cg00817731,ESS_SIV,3,46717986,ESS_22
cg17460445,chr3_6782,3,46718099,chr3_6782
cg04507495,ESS_SIV,3,47522160,single1374
cg13682223,ESS_SIV,3,50298988,single1375
cg12930727,ESS_SIV,3,50303863,single1376
cg04865290,ESS_SIV,3,52893533,single1377
cg21126969,ESS_SIV,3,52996669,single1378
cg24616795,ESS_SIV,3,52998876,ESS_146
cg07884673,ESS_SIV,3,52999152,ESS_146
cg27127091,ESS_SIV,3,53002914,single1381
cg16814023,ESS_SIV,3,53892572,chr3_8505
cg16814023,chr3_8505,3,53892572,chr3_8505
cg05401945,ESS_SIV,3,56556707,single1383
cg18405880,ESS_SIV,3,63992870,single1384
cg11044162,ESS_SIV,3,64684342,single1385
cg01228342,ESS_SIV,3,71729985,single1386
cg03847932,ESS_SIV,3,72996406,ESS_145
cg20540428,ESS_SIV,3,72996536,ESS_145
cg06217323,ESS_SIV,3,75396352,single1389
cg04444369,chr3_11651,3,75663545,chr3_11651
cg00186462,ESS_SIV,3,100682441,single1390
cg16975614,ESS_SIV,3,105882991,single1391
cg16271662,chr3_14025,3,106644795,chr3_14025
cg03329597,chr3_14199,3,108406677,chr3_14199
cg14840439,chr3_14311,3,109514225,chr3_14311
cg06813250,chr3_15446,3,121548887,chr3_15446
cg17240004,chr3_15517,3,122230237,chr3_15517
cg03198317,chr3_15517,3,122230263,chr3_15517
cg03021329,ESS_SIV,3,124835212,single1392
cg27312474,chr3_16153,3,125769167,chr3_16153
cg05084668,ESS_SIV,3,125936539,single1393
cg01620082,ESS_SIV,3,125959565,single1394
cg02807482,chr3_16216,3,125990116,chr3_16216
cg02807482,ESS_SIV,3,125990116,chr3_16216
cg06494592,chr3_16216,3,125990284,chr3_16216
cg02772935,chr3_16216,3,125990356,chr3_16216
cg04553112,chr3_16216,3,125990609,chr3_16216
cg18479299,chr3_16216,3,125990681,chr3_16216
cg15145296,chr3_16216,3,125990898,chr3_16216
cg15145296,ESS_SIV,3,125990898,chr3_16216
cg24341311,ESS_SIV,3,127193002,single1397
cg21487550,ESS_SIV,3,127338113,single1398
cg16516295,ESS_SIV,3,129429004,single1399
cg02693227,ESS_SIV,3,130080891,single1400
cg27226125,ESS_SIV,3,130086000,single1401
cg01571722,chr3_17461,3,130748028,chr3_17461
cg13594837,chr3_17518,3,131331828,chr3_17518
cg08439880,ESS_SIV,3,133783697,ESS_24
cg08439880,chr3_17758,3,133783697,ESS_24
cg11941060,ESS_SIV,3,133783721,ESS_24
cg11941060,chr3_17758,3,133783721,ESS_24
cg08048268,chr3_17758,3,133783859,ESS_24
cg08048268,ESS_SIV,3,133783859,ESS_24
cg01448562,chr3_17758,3,133784066,SIV_23
cg01448562,ESS_SIV,3,133784066,SIV_23
cg20276088,chr3_17758,3,133784074,chr3_17758
cg16414030,chr3_17758,3,133784109,ESS_24
cg16414030,ESS_SIV,3,133784109,ESS_24
cg11885357,ESS_SIV,3,138434061,single1407
cg24530147,ESS_SIV,3,139045053,SIV_140
cg14325153,ESS_SIV,3,139045058,SIV_140
cg21136104,ESS_SIV,3,142947479,single1410
cg15726045,ESS_SIV,3,146072311,single1411
cg20514083,ESS_SIV,3,151082976,single1412
cg03906843,ESS_SIV,3,151439649,single1413
cg21766308,ESS_SIV,3,151461117,single1414
cg27098685,ESS_SIV,3,152149749,single1415
cg21478177,ESS_SIV,3,183428876,single1416
cg14023239,ESS_SIV,3,183491926,SIV_61
cg24707617,ESS_SIV,3,183492023,SIV_61
cg12326526,ESS_SIV,3,183492140,SIV_61
cg01324343,ESS_SIV,3,184017225,single1420
cg17466567,ESS_SIV,3,186108802,single1421
cg01114486,ESS_SIV,3,189881184,single1422
cg15260248,ESS_SIV,3,190111304,single1423
cg17611045,ESS_SIV,3,192571457,ESS_144
cg07620573,ESS_SIV,3,192571505,ESS_144
cg22613854,ESS_SIV,3,194985226,ESS_142
cg22831526,ESS_SIV,3,194985440,ESS_142
cg25871427,ESS_SIV,3,195115754,single1428
cg11179570,chr3_25166,3,195723190,chr3_25166
cg01784063,chr3_25180,3,195759935,chr3_25180
cg27353899,chr3_25183,3,195762052,chr3_25183
cg05834845,chr3_25183,3,195762436,chr3_25183
cg13752114,ESS_SIV,3,195762838,ESS_23
cg13752114,chr3_25183,3,195762838,ESS_23
cg18918831,chr3_25183,3,195762912,ESS_23
cg18918831,ESS_SIV,3,195762912,ESS_23
cg18713687,chr3_25183,3,195762919,ESS_23
cg18713687,ESS_SIV,3,195762919,ESS_23
cg07341007,chr3_25183,3,195763039,chr3_25183
cg01310397,chr3_25183,3,195763163,ESS_23
cg01310397,ESS_SIV,3,195763163,ESS_23
cg23170091,chr3_25183,3,195763224,chr3_25183
cg16358155,chr3_25183,3,195763299,chr3_25183
cg15729578,chr3_25217,3,195849520,chr3_25217
cg01079515,chr3_25217,3,195849759,chr3_25217
cg01079515,ESS_SIV,3,195849759,chr3_25217
cg01797371,ESS_SIV,3,195851370,ESS_143
cg20917491,ESS_SIV,3,195851389,ESS_143
cg01550828,ESS_SIV,3,196500583,single1436
cg18522231,ESS_SIV,3,196978759,single1437
cg18025886,ESS_SIV,3,197024069,single1438
cg15727583,ESS_SIV,3,197030831,single1439
cg20320494,ESS_SIV,4,124351,SIV_24
cg12717203,ESS_SIV,4,124461,SIV_24
cg25397663,ESS_SIV,4,124741,SIV_24
cg10197305,ESS_SIV,4,125231,SIV_24
cg14192029,ESS_SIV,4,126178,single1444
cg26693817,ESS_SIV,4,646560,ESS_152
cg11229771,ESS_SIV,4,646715,ESS_152
cg27357918,ESS_SIV,4,651468,single1447
cg00723338,ESS_SIV,4,680802,single1448
cg15201545,ESS_SIV,4,681349,ESS_159
cg17035899,ESS_SIV,4,681476,ESS_159
cg19427345,chr4_143,4,682039,SIV_141
cg19427345,ESS_SIV,4,682039,SIV_141
cg23143502,ESS_SIV,4,682148,SIV_141
cg20814179,ESS_SIV,4,947106,single1453
cg25932599,ESS_SIV,4,1011414,single1454
cg04016957,chr4_408,4,1050699,chr4_408
cg04106633,chr4_408,4,1050797,chr4_408
cg21130718,chr4_408,4,1050834,chr4_408
cg27284194,chr4_408,4,1051010,chr4_408
cg26479374,ESS_SIV,4,1250193,ESS_149
cg16399632,ESS_SIV,4,1250219,ESS_149
cg19621877,ESS_SIV,4,1399631,single1457
cg25034424,ESS_SIV,4,1511363,single1458
cg27311590,ESS_SIV,4,1520258,ESS_148
cg12456927,ESS_SIV,4,1520503,ESS_148
cg22351267,ESS_SIV,4,1524527,single1461
cg24258529,ESS_SIV,4,1568959,single1462
cg25007799,ESS_SIV,4,1577931,single1463
cg13943068,ESS_SIV,4,1578467,ESS_150
cg03393996,ESS_SIV,4,1578651,ESS_150
cg19704288,ESS_SIV,4,1580455,single1466
cg11005692,chr4_716,4,1593568,chr4_716
cg08699206,chr4_716,4,1593688,chr4_716
cg11508406,chr4_716,4,1593789,chr4_716
cg13444392,ESS_SIV,4,1606557,single1467
cg07042007,ESS_SIV,4,2301912,ESS_151
cg14405197,ESS_SIV,4,2301934,ESS_151
cg14583973,ESS_SIV,4,3373041,single1470
cg15867164,ESS_SIV,4,3463028,single1471
cg23495837,ESS_SIV,4,3478592,single1472
cg05600350,ESS_SIV,4,4856872,single1473
cg21811021,ESS_SIV,4,6657620,single1474
cg04672903,chr4_2462,4,6673583,chr4_2462
cg23576358,chr4_2462,4,6673787,chr4_2462
cg15105060,ESS_SIV,4,7022463,single1475
cg13998369,chr4_2623,4,7127714,chr4_2623
cg16307866,chr4_2623,4,7127791,chr4_2623
cg13509831,chr4_2660,4,7215233,chr4_2660
cg19931925,chr4_2724,4,7337004,chr4_2724
cg06626033,chr4_2724,4,7337066,chr4_2724
cg11575234,chr4_2784,4,7482656,chr4_2784
cg27200895,ESS_SIV,4,7761977,single1476
cg25817503,ESS_SIV,4,7786616,single1477
cg06758191,ESS_SIV,4,7811262,single1478
cg18421538,chr4_3132,4,8304214,chr4_3132
cg13073564,chr4_3234,4,8506878,chr4_3234
cg06991380,chr4_3249,4,8567403,chr4_3249
cg23342105,chr4_3675,4,10145415,chr4_3675
cg20015412,chr4_3675,4,10145477,chr4_3675
cg04451031,chr4_3675,4,10145679,chr4_3675
cg07075387,ESS_SIV,4,14450145,single1479
cg26558363,chr4_4164,4,14481078,chr4_4164
cg15162320,chr4_4244,4,15278949,chr4_4244
cg13291296,ESS_SIV,4,22388504,single1480
cg27462975,ESS_SIV,4,24413533,single1481
cg19113954,chr4_5330,4,25161095,ESS_154
cg19113954,ESS_SIV,4,25161095,ESS_154
cg02722613,chr4_5330,4,25161277,ESS_154
cg02722613,ESS_SIV,4,25161277,ESS_154
cg17470198,chr4_5604,4,26855003,chr4_5604
cg12494166,ESS_SIV,4,31996467,single1484
cg24826020,ESS_SIV,4,38069378,single1485
cg02016764,ESS_SIV,4,38804112,single1486
cg25243082,ESS_SIV,4,40265522,single1487
cg16511076,chr4_7763,4,48885464,chr4_7763
cg01777861,ESS_SIV,4,55157677,ESS_153
cg09978860,ESS_SIV,4,55157755,ESS_153
cg18463607,ESS_SIV,4,55852155,ESS_157
cg20618651,ESS_SIV,4,55852200,ESS_157
cg19978674,ESS_SIV,4,56657661,single1492
cg11281224,ESS_SIV,4,59135283,single1493
cg16201418,ESS_SIV,4,60501315,single1494
cg04118610,ESS_SIV,4,61841310,single1495
cg09189601,ESS_SIV,4,68648314,single1496
cg15158783,ESS_SIV,4,73981930,ESS_5
cg21043213,ESS_SIV,4,73981994,ESS_5
cg16072462,ESS_SIV,4,73982042,ESS_5
cg15398841,ESS_SIV,4,73982045,ESS_5
cg02530824,ESS_SIV,4,73982050,ESS_5
cg06834998,ESS_SIV,4,73982108,ESS_5
cg05509609,ESS_SIV,4,73982113,ESS_5
cg10057126,ESS_SIV,4,76898640,single1504
cg22772235,ESS_SIV,4,81154040,single1505
cg26363580,ESS_SIV,4,81472216,single1506
cg10249074,ESS_SIV,4,82620994,single1507
cg10421990,chr4_11206,4,86021913,chr4_11206
cg21298523,ESS_SIV,4,87422785,single1508
cg02674186,chr4_11430,4,87863740,chr4_11430
cg14147903,chr4_11430,4,87863971,chr4_11430
cg19151808,ESS_SIV,4,88697901,ESS_158
cg01026744,ESS_SIV,4,88697903,ESS_158
cg05049822,chr4_12753,4,102250474,chr4_12753
cg18538958,ESS_SIV,4,103719506,single1511
cg26204682,ESS_SIV,4,104860328,single1512
cg03606093,chr4_13581,4,112086782,chr4_13581
cg05104897,ESS_SIV,4,119206331,single1513
cg07870920,ESS_SIV,4,120648615,single1514
cg00957698,ESS_SIV,4,121070191,single1515
cg06713675,ESS_SIV,4,121800828,single1516
cg16301894,ESS_SIV,4,128468590,single1517
cg14493094,ESS_SIV,4,131975425,single1518
cg07200874,ESS_SIV,4,136395415,single1519
cg12623183,ESS_SIV,4,137910099,single1520
cg24019078,ESS_SIV,4,138919314,single1521
cg09329496,ESS_SIV,4,139301910,single1522
cg18179039,chr4_16192,4,140721038,chr4_16192
cg23643542,ESS_SIV,4,150062498,single1523
cg09623286,ESS_SIV,4,153684317,single1524
cg19340941,ESS_SIV,4,154781780,SIV_144
cg00137234,ESS_SIV,4,154781987,SIV_144
cg23137881,ESS_SIV,4,158936432,single1527
cg23713704,chr4_18484,4,162984975,chr4_18484
cg05767411,ESS_SIV,4,164977674,ESS_25
cg13023646,ESS_SIV,4,164977684,ESS_25
cg14038058,ESS_SIV,4,164977697,ESS_25
cg11955878,ESS_SIV,4,164977816,ESS_25
cg16373817,ESS_SIV,4,168559195,single1532
cg11685843,ESS_SIV,4,175428021,single1533
cg25586011,ESS_SIV,4,176205579,single1534
cg17059388,ESS_SIV,4,176340920,single1535
cg02847289,chr4_19933,4,177226912,chr4_19933
cg19525912,chr4_19933,4,177226973,chr4_19933
cg25046720,ESS_SIV,4,182880786,single1536
cg09768983,ESS_SIV,4,183013908,chr4_20575
cg09768983,chr4_20575,4,183013908,chr4_20575
cg21391046,chr4_20575,4,183014081,chr4_20575
cg25018576,chr4_20663,4,183483384,chr4_20663
cg06737308,chr4_20826,4,184100362,chr4_20826
cg04960065,ESS_SIV,4,184268148,single1538
cg12167823,ESS_SIV,4,184650396,single1539
cg09120722,chr4_21231,4,185627898,chr4_21231
cg11969330,chr4_21435,4,186204260,chr4_21435
cg09526685,ESS_SIV,4,186204920,ESS_156
cg23442198,ESS_SIV,4,186204961,ESS_156
cg14349977,ESS_SIV,4,186298277,single1542
cg06033836,chr4_21467,4,186427978,chr4_21467
cg27420889,ESS_SIV,4,186500882,SIV_62
cg27327312,ESS_SIV,4,186500938,SIV_62
cg21004358,ESS_SIV,4,186500966,SIV_62
cg11331717,ESS_SIV,4,188042171,single1546
cg14804593,ESS_SIV,4,188218538,single1547
cg05540573,chr4_21884,4,188973586,chr4_21884
cg16588159,ESS_SIV,4,188974316,single1548
cg08456051,ESS_SIV,4,189304749,single1549
cg11109966,chr4_21971,4,189317867,chr4_21971
cg14840187,ESS_SIV,4,189363835,single1550
cg01790032,ESS_SIV,4,189364357,single1551
cg03064900,chr4_22091,4,189644988,chr4_22091
cg26825848,chr4_22091,4,189645022,chr4_22091
cg10022553,chr4_22092,4,189645414,chr4_22092
cg25151104,chr4_22136,4,189807394,chr4_22136
cg00936904,ESS_SIV,4,189810732,ESS_155
cg05262382,chr4_22139,4,189811043,ESS_155
cg05262382,ESS_SIV,4,189811043,ESS_155
cg05648010,ESS_SIV,5,53431,ESS_166
cg22807585,ESS_SIV,5,53450,ESS_166
cg18816122,chr5_45,5,163950,chr5_45
cg22702833,chr5_45,5,164058,chr5_45
cg07829469,chr5_128,5,270517,chr5_128
cg09854184,ESS_SIV,5,310021,single1556
cg24980413,chr5_164,5,346873,chr5_164
cg07599136,ESS_SIV,5,415771,single1557
cg17553881,ESS_SIV,5,443873,single1558
cg21159260,chr5_229,5,475775,chr5_229
cg06852942,chr5_229,5,476383,chr5_229
cg08758174,chr5_229,5,476532,chr5_229
cg01295188,chr5_229,5,476677,chr5_229
cg16235679,chr5_229,5,476728,chr5_229
cg15420634,chr5_235,5,485245,chr5_235
cg01228410,ESS_SIV,5,493779,single1559
cg11360755,ESS_SIV,5,495955,SIV_147
cg18447419,ESS_SIV,5,496185,SIV_147
cg04299200,ESS_SIV,5,534218,single1562
cg14799488,ESS_SIV,5,537695,single1563
cg23206463,chr5_288,5,561655,ESS_165
cg23206463,ESS_SIV,5,561655,ESS_165
cg24131574,ESS_SIV,5,561840,ESS_165
cg24131574,chr5_288,5,561840,ESS_165
cg16447950,chr5_288,5,562201,chr5_288
cg05062653,chr5_288,5,562227,chr5_288
cg01299774,ESS_SIV,5,565820,ESS_164
cg04136185,ESS_SIV,5,565823,ESS_164
cg18765565,ESS_SIV,5,669283,single1568
cg05978154,ESS_SIV,5,1100095,single1569
cg11629812,ESS_SIV,5,1147259,single1570
cg11100933,ESS_SIV,5,1174532,ESS_163
cg02124887,ESS_SIV,5,1174552,ESS_163
cg22071943,chr5_598,5,1225320,chr5_598
cg00255099,chr5_598,5,1225411,chr5_598
cg26472636,ESS_SIV,5,1594168,ESS_52
cg27149073,ESS_SIV,5,1594216,ESS_52
cg08422420,ESS_SIV,5,1594619,ESS_52
cg19969650,ESS_SIV,5,1634388,single1576
cg01987362,ESS_SIV,5,1826953,single1577
cg15671317,ESS_SIV,5,1827985,SIV_148
cg19050152,ESS_SIV,5,1828198,SIV_148
cg01114163,ESS_SIV,5,1856600,single1580
cg11168104,ESS_SIV,5,1857364,single1581
cg15595755,ESS_SIV,5,1867865,ESS_26
cg04156016,ESS_SIV,5,1868024,ESS_26
cg14773178,ESS_SIV,5,1868148,ESS_26
cg07747251,ESS_SIV,5,1868244,ESS_26
cg19770292,ESS_SIV,5,1868580,SIV_15
cg18366169,ESS_SIV,5,1948762,ESS_162
cg19575753,ESS_SIV,5,1948882,ESS_162
cg27611887,ESS_SIV,5,1950915,single1589
cg26168224,ESS_SIV,5,2018213,single1590
cg02114288,chr5_1335,5,3213021,chr5_1335
cg12336233,chr5_1335,5,3213063,chr5_1335
cg13608273,chr5_1342,5,3225809,chr5_1342
cg18305128,chr5_1350,5,3286183,chr5_1350
cg11468819,ESS_SIV,5,4942500,single1591
cg14810825,chr5_1680,5,5136989,chr5_1680
cg25485055,ESS_SIV,5,5271442,single1592
cg15145174,chr5_2066,5,6755274,chr5_2066
cg26964629,chr5_2066,5,6755327,chr5_2066
cg16079430,ESS_SIV,5,10856646,single1593
cg27586797,ESS_SIV,5,13664476,single1594
cg04734587,ESS_SIV,5,13810035,SIV_150
cg08818829,ESS_SIV,5,13810171,SIV_150
cg06782035,ESS_SIV,5,16179027,single1597
cg22054885,ESS_SIV,5,23507342,SIV_26
cg09166973,ESS_SIV,5,23507465,SIV_26
cg22079902,ESS_SIV,5,23507536,SIV_26
cg01667892,ESS_SIV,5,23507548,SIV_26
cg23102195,chr5_4508,5,28927500,chr5_4508
cg11015470,chr5_4508,5,28928052,chr5_4508
cg22863700,chr5_4508,5,28928240,chr5_4508
cg04832019,chr5_4508,5,28928629,chr5_4508
cg00965991,chr5_4525,5,29191864,chr5_4525
cg09141300,ESS_SIV,5,30345914,single1602
cg26267481,chr5_5033,5,33440135,chr5_5033
cg07784793,ESS_SIV,5,33794616,single1603
cg18023652,chr5_5444,5,36783461,chr5_5444
cg12809437,chr5_5938,5,41587770,chr5_5938
cg15015119,chr5_5938,5,41587795,chr5_5938
cg24581408,chr5_6029,5,42756296,chr5_6029
cg21929564,ESS_SIV,5,42757070,single1604
cg01550017,chr5_6050,5,42924114,chr5_6050
cg11206167,chr5_6050,5,42924266,chr5_6050
cg24833819,chr5_6050,5,42924451,chr5_6050
cg21041447,chr5_6050,5,42924593,chr5_6050
cg09164108,ESS_SIV,5,43007219,single1605
cg21149357,chr5_6163,5,43316367,chr5_6163
cg18373318,ESS_SIV,5,54517335,single1606
cg06536806,ESS_SIV,5,54785806,single1607
cg18302225,ESS_SIV,5,56480575,single1608
cg16151494,chr5_7361,5,57299337,chr5_7361
cg16151494,ESS_SIV,5,57299337,chr5_7361
cg19985056,chr5_7361,5,57299418,chr5_7361
cg14137162,ESS_SIV,5,67197855,single1610
cg22024931,ESS_SIV,5,70075595,single1611
cg24114444,ESS_SIV,5,74766229,single1612
cg08441455,ESS_SIV,5,75515621,single1613
cg02573091,ESS_SIV,5,75612301,ESS_53
cg19683494,ESS_SIV,5,75612318,ESS_53
cg00601450,ESS_SIV,5,75612346,ESS_53
cg26680317,ESS_SIV,5,76660105,single1617
cg16293892,ESS_SIV,5,77846797,single1618
cg18281939,ESS_SIV,5,78488073,single1619
cg26286839,ESS_SIV,5,80083133,single1620
cg15639469,chr5_9885,5,80300406,chr5_9885
cg08508887,chr5_9888,5,80310041,chr5_9888
cg15871215,ESS_SIV,5,82106386,single1621
cg16102102,ESS_SIV,5,83721735,single1622
cg12475092,chr5_10401,5,85638620,chr5_10401
cg14587401,ESS_SIV,5,95554705,ESS_167
cg00849368,ESS_SIV,5,95554708,ESS_167
cg15814092,chr5_11536,5,98546936,chr5_11536
cg02345638,chr5_11536,5,98546987,chr5_11536
cg26076750,ESS_SIV,5,98769447,single1625
cg02976617,ESS_SIV,5,103562763,SIV_25
cg13665998,ESS_SIV,5,103562778,SIV_25
cg09166085,ESS_SIV,5,103562948,SIV_25
cg07655627,ESS_SIV,5,103563029,SIV_25
cg10460168,chr5_12708,5,112862326,chr5_12708
cg11772086,ESS_SIV,5,113199994,single1630
